route_id,mean_sec,mean_m,,,
A1,191.5882353,267.100993,,,
A2,97.26666667,134.0465812,,,
B1,218.2,280.9153282,,,
B2,136.75,200.8809564,,,
B3,89.66666667,116.5175303,,,
B4,106.2,161.8016577,,,
C1,232.1666667,314.9943775,,,
C2,108,150,,,
D1,208.9090909,281.4778061,,,
E1,321,421.8608324,,,
E2,249.6666667,365.5815585,,,
E3,186.0769231,268.9887667,,,
E4,199.8,313.6410798,,,
E5,210,301.1141492,,,
,,,,,
,,,,,
,,,,,
,,,,,TRUE
